timestamp,class_id,class_name,conf,x1,y1,x2,y2
2025-09-01T08:45:30.365607,1,healthy,0.7348,0.00,205.63,63.68,293.50
2025-09-01T08:45:30.365607,1,healthy,0.6371,333.62,85.87,370.61,125.79
2025-09-01T08:45:30.365607,1,healthy,0.6272,304.17,84.67,371.30,125.47
2025-09-01T08:45:31.797240,1,healthy,0.6067,295.81,308.69,348.20,383.19
2025-09-01T08:45:32.012649,1,healthy,0.6316,152.12,330.73,298.33,479.68
2025-09-01T08:45:32.215061,1,healthy,0.6851,159.93,329.08,299.81,479.54
2025-09-01T08:45:32.215061,0,bleached,0.6116,0.00,338.79,69.56,480.00
2025-09-01T08:45:32.410251,1,healthy,0.7654,154.52,326.30,297.82,480.00
2025-09-01T08:45:32.410251,0,bleached,0.6303,0.00,340.04,69.17,480.00
2025-09-01T08:45:32.608041,1,healthy,0.7941,146.05,330.49,298.94,480.00
2025-09-01T08:45:32.800282,1,healthy,0.6582,147.54,340.70,295.74,478.99
2025-09-01T08:45:32.997393,1,healthy,0.6282,111.89,338.55,292.74,480.00
2025-09-01T08:45:33.192682,1,healthy,0.6298,132.12,346.07,288.98,480.00
2025-09-01T08:45:33.419570,1,healthy,0.7080,119.46,328.47,280.45,479.89
2025-09-01T08:45:33.628470,0,bleached,0.6903,0.00,341.56,70.47,480.00
2025-09-01T08:45:33.628470,1,healthy,0.6029,133.92,333.80,283.44,480.00
2025-09-01T08:45:33.835287,1,healthy,0.6728,130.56,327.27,271.18,479.07
2025-09-01T08:45:35.517235,1,healthy,0.6053,106.50,327.15,258.19,480.00
2025-09-01T08:45:35.930807,1,healthy,0.7083,131.31,343.77,266.18,479.53
2025-09-01T08:45:36.135297,1,healthy,0.7252,129.98,320.71,251.90,480.00
2025-09-01T08:45:36.542623,1,healthy,0.6186,72.10,331.40,245.60,478.22
2025-09-01T08:45:37.160955,1,healthy,0.6122,92.86,359.67,338.16,479.55
2025-09-01T08:45:37.363539,1,healthy,0.6439,192.17,313.91,326.61,444.01
2025-09-01T08:45:41.070312,1,healthy,0.7348,0.00,205.63,63.68,293.50
2025-09-01T08:45:41.070312,1,healthy,0.6371,333.62,85.87,370.61,125.79
2025-09-01T08:45:41.070312,1,healthy,0.6272,304.17,84.67,371.30,125.47
2025-09-01T08:45:41.225558,1,healthy,0.7348,0.00,205.63,63.68,293.50
2025-09-01T08:45:41.225558,1,healthy,0.6374,333.63,85.87,370.61,125.80
2025-09-01T08:45:41.225558,1,healthy,0.6272,304.17,84.67,371.30,125.48
2025-09-01T08:45:41.381689,1,healthy,0.7372,0.00,205.23,62.82,294.18
2025-09-01T08:45:41.381689,1,healthy,0.6161,303.16,84.76,370.96,125.74
2025-09-01T08:45:41.381689,1,healthy,0.6100,334.10,85.97,370.44,126.05
2025-09-01T08:45:41.533090,1,healthy,0.7406,0.00,204.81,61.97,294.85
2025-09-01T08:45:41.683574,1,healthy,0.7303,0.00,203.76,61.18,296.79
2025-09-01T08:45:41.846587,1,healthy,0.7323,0.00,204.03,61.11,295.20
2025-09-01T08:45:42.000353,1,healthy,0.7292,0.00,203.95,61.68,292.96
2025-09-01T08:45:42.164068,1,healthy,0.6954,0.00,205.03,61.26,291.34
2025-09-01T08:45:42.164068,0,bleached,0.6641,77.65,242.69,120.02,279.92
2025-09-01T08:45:42.329002,1,healthy,0.6954,0.00,205.03,61.26,291.35
2025-09-01T08:45:42.329002,0,bleached,0.6639,77.65,242.69,120.02,279.92
2025-09-01T08:45:42.492813,0,bleached,0.7624,78.96,242.89,119.54,279.65
2025-09-01T08:45:42.492813,1,healthy,0.6856,0.00,201.45,60.81,293.19
2025-09-01T08:45:42.651327,0,bleached,0.7731,79.09,242.99,119.34,280.98
2025-09-01T08:45:42.651327,1,healthy,0.6991,0.00,201.21,60.70,299.11
2025-09-01T08:45:42.808339,0,bleached,0.7744,79.01,243.11,119.05,281.20
2025-09-01T08:45:42.808339,1,healthy,0.6857,0.00,201.18,60.61,300.58
2025-09-01T08:45:42.808339,1,healthy,0.6299,309.21,85.95,368.25,126.02
2025-09-01T08:45:42.961408,0,bleached,0.7760,79.47,243.33,119.05,280.99
2025-09-01T08:45:42.961408,1,healthy,0.6803,0.00,200.46,60.37,301.19
2025-09-01T08:45:42.961408,1,healthy,0.6122,309.41,85.87,368.22,125.68
2025-09-01T08:45:43.126924,0,bleached,0.7995,80.03,244.29,119.87,278.24
2025-09-01T08:45:43.126924,1,healthy,0.6413,309.50,85.80,368.23,125.42
2025-09-01T08:45:43.126924,1,healthy,0.6401,0.00,202.06,60.23,289.04
2025-09-01T08:45:43.288932,0,bleached,0.7171,78.64,243.88,118.18,277.72
2025-09-01T08:45:43.288932,1,healthy,0.6319,309.57,85.84,368.58,125.19
2025-09-01T08:45:43.288932,1,healthy,0.6145,0.07,204.36,61.25,330.87
2025-09-01T08:45:43.444774,1,healthy,0.6585,310.01,85.87,368.56,125.30
2025-09-01T08:45:43.444774,1,healthy,0.6347,0.12,206.91,57.24,335.61
2025-09-01T08:45:43.611801,1,healthy,0.6270,312.31,85.91,368.88,125.18
2025-09-01T08:45:43.776840,1,healthy,0.6202,310.83,85.94,368.56,125.42
2025-09-01T08:45:44.095589,1,healthy,0.6549,313.89,85.93,368.56,125.86
2025-09-01T08:45:44.095589,1,healthy,0.6337,104.60,17.89,139.41,70.37
2025-09-01T08:45:44.255096,1,healthy,0.6635,104.43,17.99,139.48,70.55
2025-09-01T08:45:44.255096,1,healthy,0.6586,319.55,85.84,368.36,126.10
2025-09-01T08:45:44.410678,1,healthy,0.6552,103.20,17.93,139.50,71.47
2025-09-01T08:45:44.569108,1,healthy,0.6050,104.04,18.74,139.29,70.30
2025-09-01T08:45:44.721665,1,healthy,0.6098,103.72,18.50,138.94,70.27
2025-09-01T08:45:45.688788,1,healthy,0.6336,105.44,151.40,174.51,209.93
2025-09-01T08:45:45.845767,1,healthy,0.6484,106.36,152.12,174.25,208.97
2025-09-01T08:45:46.009709,1,healthy,0.6785,106.34,151.83,173.44,209.21
2025-09-01T08:45:46.164677,1,healthy,0.6864,106.48,151.97,173.55,209.76
2025-09-01T08:45:46.333293,1,healthy,0.6493,105.58,151.39,173.32,209.18
2025-09-01T08:45:46.496443,1,healthy,0.6496,105.29,152.40,173.28,209.71
2025-09-01T08:45:46.651537,1,healthy,0.6242,105.64,152.89,173.47,209.63
2025-09-01T08:45:46.651537,1,healthy,0.6150,102.96,18.76,139.12,67.87
2025-09-01T08:45:46.806838,1,healthy,0.6206,102.95,19.25,138.96,67.91
2025-09-01T08:45:49.834648,1,healthy,0.6492,326.55,87.28,371.47,128.31
2025-09-01T08:45:49.991821,1,healthy,0.6381,328.81,87.35,371.14,128.03
2025-09-01T08:45:50.300489,1,healthy,0.7217,323.78,87.01,372.39,129.31
2025-09-01T08:45:51.247295,1,healthy,0.6197,307.32,83.89,373.02,126.24
2025-09-01T08:45:51.826760,1,healthy,0.6921,307.13,81.67,373.06,123.88
2025-09-01T08:45:51.996397,1,healthy,0.6920,307.13,81.67,373.07,123.88
2025-09-01T08:45:52.155866,1,healthy,0.6398,306.92,81.93,372.57,122.38
2025-09-01T08:45:52.347293,1,healthy,0.6479,305.83,81.30,372.92,121.66
2025-09-01T08:45:53.633034,1,healthy,0.6320,311.84,73.67,372.89,121.14
2025-09-01T08:45:54.447515,1,healthy,0.6726,308.07,71.06,373.13,116.33
2025-09-01T08:45:54.963108,1,healthy,0.6314,309.79,71.88,374.11,115.50
2025-09-01T08:45:55.617354,1,healthy,0.6133,183.26,42.96,230.04,77.46
2025-09-01T08:46:03.123261,1,healthy,0.7028,311.17,64.10,379.15,107.01
2025-09-01T08:46:03.276669,1,healthy,0.6919,311.42,64.25,378.74,107.07
2025-09-01T08:46:03.430784,1,healthy,0.7467,311.77,63.71,378.90,107.59
2025-09-01T08:46:03.589619,1,healthy,0.7228,311.01,64.83,375.17,106.68
2025-09-01T08:46:03.750843,1,healthy,0.6838,310.62,65.51,379.74,109.19
2025-09-01T08:46:03.908501,1,healthy,0.6588,310.85,65.69,380.03,109.46
2025-09-01T08:46:04.080757,1,healthy,0.7071,312.70,66.03,380.48,109.12
2025-09-01T08:46:04.240013,1,healthy,0.6985,314.98,66.03,381.09,110.64
2025-09-01T08:46:04.400393,1,healthy,0.7353,315.19,66.39,381.68,110.52
2025-09-01T08:46:04.560283,1,healthy,0.6938,315.51,66.16,380.63,110.80
2025-09-01T08:46:04.717589,1,healthy,0.6203,315.95,66.23,381.23,110.96
2025-09-01T08:46:04.869485,1,healthy,0.6080,317.46,66.30,380.99,111.98
2025-09-01T08:46:05.030432,1,healthy,0.7070,318.38,66.29,380.69,112.08
2025-09-01T08:46:05.197256,1,healthy,0.6463,317.85,66.79,381.36,113.08
2025-09-01T08:46:05.393996,1,healthy,0.6533,317.04,67.41,381.23,113.64
2025-09-01T08:46:06.330075,1,healthy,0.6720,324.33,72.27,385.35,119.02
2025-09-01T08:46:06.484217,1,healthy,0.6262,320.39,71.31,386.38,119.71
2025-09-01T08:46:06.644540,1,healthy,0.6999,321.21,71.53,386.28,119.88
2025-09-01T08:46:06.806397,1,healthy,0.7165,319.56,70.86,387.56,119.77
